🇭🇰港澳台(主线),#genre#
纬来精彩频道,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频道,http://61.221.215.25:8800/hls/57/index.m3u8

🚀秒播央视,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN西语,http://go.bkpcp.top/mg/cgtne
CGTN阿语,http://go.bkpcp.top/mg/cgtna
CGTN法语,http://go.bkpcp.top/mg/cgtnf
CCTV1,http://m.061899.xyz/mg/cctv1
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV5,http://m.061899.xyz/mg/cctv5
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,http://m.061899.xyz/mg/cctv16
CCTV17,http://m.061899.xyz/mg/cctv17
cctv美洲,http://m.061899.xyz/mg/cctv4m
cctv欧洲,http://m.061899.xyz/mg/cctv4o
CETV01,http://m.061899.xyz/mg/cetv1
CETV02,http://m.061899.xyz/mg/cetv2
CETV04,http://m.061899.xyz/mg/cetv4
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=yu&mode=1&$4M
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=yu&mode=1&$4M
CCTV3,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=yu&mode=1&$4M
CCTV4,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=yu&mode=1&$4M
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=yu&mode=1&$4M
CCTV5+,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=yu&mode=1&$4M
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV6,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=yu&mode=1&$4M
CCTV7,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=yu&mode=1&$4M
CCTV8,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=yu&mode=1&$4M
CCTV9,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028286&livemode=1&stbId=yu&mode=1&$4M
CCTV10,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000026367&livemode=1&stbId=yu&mode=1&$4M
CCTV11,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=yu&mode=1&$4M
CCTV12,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001640&livemode=1&stbId=yu&mode=1&$4M
CCTV13,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=yu&mode=1&$4M
CCTV14,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021349&livemode=1&stbId=yu&mode=1&$4M
CCTV15,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=yu&mode=1&$4M
CCTV16,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=yu&mode=1&$8M
CCTV17,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=yu&mode=1&$4M
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8
CGTN,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000009569&livemode=1&stbId=yu&mode=1&$4M
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN阿语,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280001&livemode=1&stbId=yu&mode=1&$4M
CGTN阿语,https://0472.org/hls/cgtna.m3u8?3.24.160:5140
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN法语,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280003&livemode=1&stbId=yu&mode=1&$4M
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN俄语,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000006000280004&livemode=1&stbId=yu&mode=1&$4M
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8?3.24.170:5140
CGTN记录,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=8428799834696888424&livemode=1&stbId=yu&mode=1&$2M
CGTN记录,https://0472.org/hls/cgtnd.m3u8?3.24.120:5140
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CETV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=1000000002000027253&livemode=1&stbId=yu&mode=1&$4M
CETV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=1000000005000266004&livemode=1&stbId=yu&mode=1&$4M
CETV4,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=1000000005000025333&livemode=1&stbId=yu&mode=1&$4M
CEC汉语文化,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
CEC国际旅游,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
CEC国际教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
CEC国际健康,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
重温经典,http://8.138.7.223/tv/cwjd.php
重温经典,http://rihou.cc:555/tv/[Pd]重温经典

🔥极速卫视,#genre#
江苏卫视,http://14.204.32.194:6410/00000003/2/H_JSWS?virtualDomain=00000003.live_hls.zte.com
浙江卫视,http://14.204.32.194:6410/00000003/2/H_ZJWS?virtualDomain=00000003.live_hls.zte.com
东方卫视,http://14.204.32.194:6410/00000003/2/H_DFWS?virtualDomain=00000003.live_hls.zte.com
北京卫视,http://14.204.32.194:6410/00000003/2/H_BJWS?virtualDomain=00000003.live_hls.zte.com
湖北卫视,http://14.204.32.194:6410/00000003/2/H_HBWS?virtualDomain=00000003.live_hls.zte.com
黑龙江卫视,http://14.204.32.194:6410/00000003/2/H_HLJWS?virtualDomain=00000003.live_hls.zte.com
安徽卫视,http://14.204.32.194:6410/00000003/2/H_AHWS?virtualDomain=00000003.live_hls.zte.com
辽宁卫视,http://14.204.32.194:6410/00000003/2/H_LNWS?virtualDomain=00000003.live_hls.zte.com
东南卫视,http://14.204.32.194:6410/00000003/2/H_DNWS?virtualDomain=00000003.live_hls.zte.com
重庆卫视,http://14.204.32.194:6410/00000003/2/H_CQWS?virtualDomain=00000003.live_hls.zte.com
四川卫视,http://14.204.32.194:6410/00000003/2/H_SCWS?virtualDomain=00000003.live_hls.zte.com
陕西卫视,http://14.204.32.194:6410/00000003/2/H_SHANXI?virtualDomain=00000003.live_hls.zte.com
贵州卫视,http://14.204.32.194:6410/00000003/2/H_GZWS?virtualDomain=00000003.live_hls.zte.com
甘肃卫视,http://14.204.32.194:6410/00000003/2/H_GSWS?virtualDomain=00000003.live_hls.zte.com
山西卫视,http://14.204.32.194:6410/00000003/2/H_SXWS?virtualDomain=00000003.live_hls.zte.com
广东卫视,http://14.204.32.194:6410/00000003/2/H_GDWS?virtualDomain=00000003.live_hls.zte.com
河北卫视,http://14.204.32.194:6410/00000003/2/H_HEBEI?virtualDomain=00000003.live_hls.zte.com
东南卫视,http://14.204.32.194:6410/00000003/2/H_LYWS?virtualDomain=00000003.live_hls.zte.com
青海卫视,http://14.204.32.194:6410/00000003/2/H_QHWS?virtualDomain=00000003.live_hls.zte.com
云南卫视,http://14.204.32.194:6410/00000003/2/H_YNWS?virtualDomain=00000003.live_hls.zte.com
河南卫视,http://14.204.32.194:6410/00000003/2/H_HENAN?virtualDomain=00000003.live_hls.zte.com
吉林卫视,http://14.204.32.194:6410/00000003/2/H_JLWS?virtualDomain=00000003.live_hls.zte.com
广西卫视,http://14.204.32.194:6410/00000003/2/H_GXWS?virtualDomain=00000003.live_hls.zte.com
西藏卫视,http://14.204.32.194:6410/00000003/2/H_XZWS?virtualDomain=00000003.live_hls.zte.com
内蒙古卫视,http://14.204.32.194:6410/00000003/2/H_NMGWS?virtualDomain=00000003.live_hls.zte.com
宁夏卫视,http://14.204.32.194:6410/00000003/2/H_NXWS?virtualDomain=00000003.live_hls.zte.com
新疆卫视,http://14.204.32.194:6410/00000003/2/H_XJWS?virtualDomain=00000003.live_hls.zte.com
厦门卫视,http://14.204.32.194:6410/00000003/2/H_XMWS?virtualDomain=00000003.live_hls.zte.com
大湾区卫视,https://live.chinacert.cftest5.cn/cnmg/live/608917627
中国农林卫视,https://live.chinacert.cftest5.cn/cnmg/live/956904896

🇨🇳港台电影,#genre#
好莱坞电影台,http://rihou.cc:555/tv/[Hk]好莱电影
中天新闻,http://jnzq.ohoyee.com:9080/live/332123-ztxw2.m3u8
中天新闻,http://nmk.ioapk.com:5050/of-4gtv-4gtv009/index.m3u8?proxy=true
PopC电影,http://mg.hmysapp.cn:177/港澳台/香港港hk/PopC.php?id=301
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
天映频道,https://o11.163189.xyz/stream/live/typd/
天映经典,https://o11.163189.xyz/stream/live/ccm/
千禧经典台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
1905电影网A,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905电影网A,http://php.jdshipin.com/1905.php
亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
澳门莲花,http://live-hdl.macaulotustv.com/lotustv/macaulotustv.m3u8
凤凰电影,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,https://stream1.freetv.fun/74ff62421aeda7787c01ed5968f3e6176a418bf608351ac8faf5c3d501c70eab.m3u8
邵氏喜剧,https://stream1.freetv.fun/5b5db4070d49b6949aad5a643411dbcf20868919c31ec99f9881cc1e19f2eaa0.m3u8
邵氏武侠,https://stream1.freetv.fun/960fbbbedcdd596709ff256d7a80286a70a6820a03e20d4d4eaa49816ba4d4c1.m3u8
邵氏电影,https://stream1.freetv.fun/d8f66a980ecbfcf9ff9db3b098d87b06793378b6f0d84e28717bfb2da14c2124.m3u8
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
民视综艺,http://iptv.4666888.xyz/iptv2A.php?id=46
非凡商业,http://iptv.4666888.xyz/iptv2A.php?id=44
华艺中文,http://iptv.4666888.xyz/iptv2A.php?id=37
爱奇艺综,http://iptv.4666888.xyz/iptv2A.php?id=21
EYE-戏剧,http://iptv.4666888.xyz/iptv2A.php?id=56
美国NBAㅤ,http://103.148.44.38:8000/play/a03m/index.m3u8
美国NBA,http://23.237.104.106:8080/USA_NBA/tracks-v1a1/mono.m3u8
美国NBC体育,https://xumo-xumoent-vc-122-sjv70.fast.nbcuni.com/live/master.m3u8
美国UFC,https://linear-893.frequency.stream/dist/xumo/893/hls/master/playlist.m3u8
美国SPEED SPORT 1,https://aka-live1050.delivery.roku.com/63e7c506-7574-46d4-a388-2453864eae36/t2-origin/out/v1/live.m3u8
奥地利红牛,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8

🎞️电影轮播频道,#genre#
放映厅轮播,http://cfss.cc/cdn/huya/11602077.flv
刘德华轮播,http://cfss.cc/cdn/huya/11342424.flv
许冠英轮播,http://cfss.cc/cdn/huya/11601972.flv
李连杰轮播,http://cfss.cc/cdn/huya/11342390.flv
甄子丹轮播,http://cfss.cc/cdn/huya/11352935.flv
周润发轮播,http://cfss.cc/cdn/huya/11342387.flv
周星星轮播,http://cfss.cc/cdn/huya/11336587.flv
洪金宝轮播,http://cfss.cc/cdn/huya/11279251.flv
梁家辉轮播,http://cfss.cc/cdn/huya/11342429.flv
五福星轮播,http://cfss.cc/cdn/huya/11282233.flv
古天乐轮播,http://cfss.cc/cdn/huya/11602041.flv
邱淑贞轮播,http://cfss.cc/cdn/huya/11352949.flv
周海媚轮播,http://cfss.cc/cdn/huya/11279247.flv
星爷轮播,http://cfss.cc/cdn/huya/11342412.flv
英叔轮播,http://cfss.cc/cdn/huya/11342421.flv
成龙轮播,http://cfss.cc/cdn/huya/11342386.flv
王晶轮播,http://cfss.cc/cdn/huya/11602058.flv
沈腾轮播,http://cfss.cc/cdn/huya/11601968.flv
黄渤轮播,http://cfss.cc/cdn/huya/11352876.flv
强森轮播,http://cfss.cc/cdn/huya/21059581.flv
玄幻轮播,http://cfss.cc/cdn/huya/11342414.flv
喜剧轮播,http://cfss.cc/cdn/huya/11352877.flv
港片轮播,http://cfss.cc/cdn/huya/11602043.flv
国产轮播,http://cfss.cc/cdn/huya/11352973.flv
漫威轮播,http://cfss.cc/cdn/huya/11602034.flv
宇宙轮播,http://cfss.cc/cdn/huya/11342428.flv
怪兽轮播,http://cfss.cc/cdn/huya/21059577.flv
武侠轮播,http://cfss.cc/cdn/huya/11342427.flv
警匪轮播,http://cfss.cc/cdn/huya/11352886.flv
罪犯轮播,http://cfss.cc/cdn/huya/11352962.flv
枪战轮播,http://cfss.cc/cdn/huya/21059579.flv
盗墓轮播,http://cfss.cc/cdn/huya/21059552.flv
海盗轮播,http://cfss.cc/cdn/huya/21059595.flv
救援轮播,http://cfss.cc/cdn/huya/21059594.flv
热血轮播,http://cfss.cc/cdn/huya/11352934.flv
谍战轮播,http://cfss.cc/cdn/huya/21059585.flv
战争轮播,http://cfss.cc/cdn/huya/21059592.flv
小鬼头轮播,http://cfss.cc/cdn/huya/11352963.flv
陈翔六点频道,http://cfss.cc/cdn/huya/11274154.flv
喜剧专场频道,http://cfss.cc/cdn/huya/11602044.flv
高分动作频道,http://cfss.cc/cdn/huya/11352884.flv
不挤影院频道,http://cfss.cc/cdn/huya/11352897.flv
黑帮斗争频道,http://cfss.cc/cdn/huya/11342419.flv
嫣然影厅频道,http://cfss.cc/cdn/huya/11601977.flv
女神系列频道,http://cfss.cc/cdn/huya/11336571.flv
经典女神频道,http://cfss.cc/cdn/huya/11352909.flv
许氏三杰频道,http://cfss.cc/cdn/huya/11602033.flv
经典港片频道,http://cfss.cc/cdn/huya/11352965.flv
镖行天下频道,http://cfss.cc/cdn/huya/11352969.flv
蘑菇影厅频道,http://cfss.cc/cdn/huya/11601981.flv
搞笑恐怖频道,http://cfss.cc/cdn/huya/11601960.flv
死神来了频道,http://cfss.cc/cdn/huya/11352903.flv
超异能族频道,http://cfss.cc/cdn/huya/21059586.flv
古墓系列频道,http://cfss.cc/cdn/huya/11352913.flv
搞笑喜剧频道,http://cfss.cc/cdn/huya/11342423.flv
欢笑影院频道,http://cfss.cc/cdn/huya/11352894.flv
国产悬疑频道,http://cfss.cc/cdn/huya/11342395.flv
快意江湖频道,http://cfss.cc/cdn/huya/11342435.flv
喜乐影院频道,http://cfss.cc/cdn/huya/21059580.flv
怪兽系列频道,http://cfss.cc/cdn/huya/21059554.flv
杰森斯坦频道,http://cfss.cc/cdn/huya/21059588.flv
寻秦记轮播,http://cfss.cc/cdn/huya/29465848.flv
西游记轮播,http://cfss.cc/cdn/huya/29465859.flv
扫黄先锋频道,http://cfss.cc/cdn/huya/29465855.flv
楚汉骄雄频道,http://cfss.cc/cdn/huya/29465854.flv
陀枪师姐频道,http://cfss.cc/cdn/huya/29465857.flv
法证先锋频道,http://cfss.cc/cdn/huya/29465861.flv
刑事侦缉频道,http://cfss.cc/cdn/huya/29465856.flv
笑看风云频道,http://cfss.cc/cdn/huya/29465858.flv
大唐双龙频道,http://cfss.cc/cdn/huya/29465850.flv
洗冤录轮播,http://cfss.cc/cdn/huya/29465851.flv
金枝欲孽频道,http://cfss.cc/cdn/huya/29465847.flv
野蛮奶奶频道,http://cfss.cc/cdn/huya/23863796.flv
创世纪轮播,http://cfss.cc/cdn/huya/29465852.flv
封神榜轮播,http://cfss.cc/cdn/huya/29465849.flv
妙手仁心频道,http://cfss.cc/cdn/huya/29465853.flv
活佛济公频道,http://cfss.cc/cdn/huya/23903123.flv
鹿鼎记98频道,http://cfss.cc/cdn/huya/26355806.flv
小李飞刀频道,http://cfss.cc/cdn/huya/11342417.flv
水月洞天频道,http://cfss.cc/cdn/huya/21059567.flv
绝代双娇频道,http://cfss.cc/cdn/huya/29465867.flv
风云雄霸频道,http://cfss.cc/cdn/huya/21059612.flv
如懿传轮播,http://cfss.cc/cdn/huya/29465868.flv
芈月传轮播,http://cfss.cc/cdn/huya/11352975.flv
延禧攻略频道,http://cfss.cc/cdn/huya/26355864.flv
王子青蛙频道,http://cfss.cc/cdn/huya/11601964.flv
永夜星河频道,http://cfss.cc/cdn/huya/23734169.flv
玫瑰故事频道,http://cfss.cc/cdn/huya/23865142.flv
漫长季节频道,http://cfss.cc/cdn/huya/11342393.flv
梦华录轮播,http://cfss.cc/cdn/huya/11336590.flv
乌龙院闯频道,http://cfss.cc/cdn/huya/26355767.flv
新楚留香频道,http://cfss.cc/cdn/huya/26355848.flv
新楚留香频道,http://cfss.cc/cdn/huya/23863804.flv
无心法师频道,http://cfss.cc/cdn/huya/30080233.flv
征服轮播,http://cfss.cc/cdn/huya/30311494.flv
海绵宝宝频道,http://cfss.cc/cdn/huya/11352919.flv
龙珠轮播,http://cfss.cc/cdn/huya/10279885.flv
叮当全集频道,http://cfss.cc/cdn/huya/11601963.flv
猫和老鼠频道,http://cfss.cc/cdn/huya/11352879.flv
精绝古城频道,http://cfss.cc/cdn/huya/11352871.flv
怒晴湘西频道,http://cfss.cc/cdn/huya/11602075.flv
龙岭迷窟频道,http://cfss.cc/cdn/huya/29465863.flv
云南虫谷频道,http://cfss.cc/cdn/huya/11352898.flv
亮剑轮播,http://cfss.cc/cdn/huya/30080238.flv
民兵葛二频道,http://cfss.cc/cdn/huya/11602072.flv
我的团长频道,http://cfss.cc/cdn/huya/11352910.flv
铁道游击频道,http://cfss.cc/cdn/huya/11352936.flv
铁梨花轮播,http://cfss.cc/cdn/huya/11352912.flv
康熙微服频道,http://cfss.cc/cdn/huya/11342418.flv
御赐仵作频道,http://cfss.cc/cdn/huya/11352948.flv
新水浒传频道,http://cfss.cc/cdn/huya/11342384.flv
开端轮播,http://cfss.cc/cdn/huya/11342397.flv
神探狄仁频道,http://cfss.cc/cdn/huya/11352958.flv
三国演义频道,http://cfss.cc/cdn/huya/11602081.flv
新三国演频道,http://cfss.cc/cdn/huya/11352944.flv
问心轮播,http://cfss.cc/cdn/huya/11352890.flv
炊事班的频道,http://cfss.cc/cdn/huya/19524135.flv
医馆笑传频道,http://cfss.cc/cdn/huya/11352891.flv
杨光生活频道,http://cfss.cc/cdn/huya/11602085.flv
陈情令轮播,http://cfss.cc/cdn/huya/29465862.flv
神医喜来频道,http://cfss.cc/cdn/huya/11601978.flv
大宋提刑频道,http://cfss.cc/cdn/huya/26355856.flv
鹊刀门传频道,http://cfss.cc/cdn/huya/29805872.flv
白鹿原轮播,http://cfss.cc/cdn/huya/11342416.flv
一代枭雄频道,http://cfss.cc/cdn/huya/11342398.flv
庆余年轮播,http://cfss.cc/cdn/huya/11352960.flv
铁齿铜牙频道,http://cfss.cc/cdn/huya/11342396.flv
雪中悍刀频道,http://cfss.cc/cdn/huya/11336592.flv
星汉灿烂频道,http://cfss.cc/cdn/huya/11336591.flv
父母爱情频道,http://cfss.cc/cdn/huya/11602071.flv
大染坊轮播,http://cfss.cc/cdn/huya/11602086.flv
地下交通频道,http://cfss.cc/cdn/huya/11342433.flv
邻里一家频道,http://cfss.cc/cdn/huya/11342426.flv
雍正王朝频道,http://cfss.cc/cdn/huya/11342439.flv
士兵突击频道,http://cfss.cc/cdn/huya/11342430.flv
爱情公寓频道,http://cfss.cc/cdn/huya/11336726.flv
电视剧三频道,http://cfss.cc/cdn/huya/21059563.flv
电视剧七频道,http://cfss.cc/cdn/huya/21059630.flv
电视剧十一道,http://cfss.cc/cdn/huya/11602088.flv

🇨🇳港台最新,#genre#
凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
